"name";"2020-05-16";"2020-05-14";"2020-05-12";"2020-05-10";"2020-05-08";"2020-05-06";"2020-05-04";"2020-05-02";"2020-04-30";"2020-04-28";"2020-04-26";"2020-04-24";"2020-04-22";"2020-04-20";"2020-04-18";"2020-04-16";"2020-04-14";"2020-04-12";"2020-04-10";"2020-04-08";"2020-04-06";"2020-04-04";"2020-04-02";"2020-03-31";"2020-03-29";"2020-03-27";"2020-03-25";"2020-03-23";"2020-03-21";"2020-03-19";"2020-03-17";"2020-03-15";"2020-03-13";"2020-03-11";"2020-03-06";"2020-03-04";"2020-03-02";"2020-02-29";"2020-02-27";"2020-02-25";"2020-02-23";"2020-02-21";"2020-02-19";"2020-02-17";"2020-02-15";"2020-02-13";"2020-02-11";"2020-02-09";"2020-02-07";"2020-02-05"
"<U+2606> Di<U+2661>g<U+2661>";"MIA";"-BF";"MIA";"MIA";"0";"MIA";"MIA";"MIA";"MIA";"MIA";"MIA";"MIA";"MIA";"MIA";"1";"MIA";"MIA";"MIA";"MIA";"1";"MIA";"MIA";"MIA";"1";"-BF";"1";"MIA";"MIA";"MIA";"MIA";"MIA";"MIA";"MIA";"MIA";"MIA";"MIA";"MIA";"-BF";"-BF";"MIA";"MIA";"MIA";"MIA";"MIA";"MIA";"MIA";"MIA";"MIA";"-BF";"MIA"
"bascenso";"0";"1";"1";"0";"0";"1";"1";"0";"1";"1";"0";"1";"MIA";"1";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"1";"2";"0";"0";"1";"0";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"1";"MIA";"1";"1";"1";"1";"1"
"carmen";"0";"0";"0";"1";"1";"1";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"-BF";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"-BF";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1"
"changoloco1211";"1";"1";"0";"1";"MIA";"0";"1";"MIA";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1"
"COSTA06";"MIA";"MIA";"MIA";"MIA";"-BF";"MIA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"devilukas";"0";"MIA";"MIA";"0";"1";"1";"1";"1";"MIA";"0";"1";"MIA";"MIA";"MIA";"MIA";"MIA";"MIA";"1";"1";"MIA";"1";"1";"1";"MIA";"MIA";"1";"0";"0";"MIA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FalconSn0w";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"faneca";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1"
"FL GAMER 8";"MIA";"MIA";"MIA";"0";"MIA";"MIA";"MIA";"MIA";"MIA";"1";"-BF";"1";"0";"0";"1";"MIA";"0";"MIA";"0";"1";"0";"0";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Gicasgamer";"1";"1";"2";"MIA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Gingka";"1";"1";"0";"0";"0";"1";"1";"1";"-BF";"0";"0";"1";"0";"1";"1";"0";"1";"0";"1";"1";"0";"0";"0";"0";"1";"MIA";"1";"1";"1";"0";"1";"1";"1";"0";"0";"1";"1";"0";"MIA";"1";"0";"1";"MIA";"0";"1";"1";"1";"1";"0";"1"
"Goblyn";"0";"1";"1";"1";"0";"1";"1";"0";"2";"0";"0";"1";"1";"1";"0";"1";"0";"1";"1";"1";"0";"0";"1";"0";"0";"1";"1";"0";"0";"1";"0";"0";"1";"1";"1";"1";"0";"1";"0";"0";"0";"1";"1";"-BF";"0";"0";"1";"1";"1";"1"
"Gongas";"-BF";"1";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"0";"0";"0";"1";"1";"0";"1";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1"
"gonzo";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"huracan";"0";"0";"0";"1";"1";"1";"0";"1";"-BF";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"1";"1";"0";"1";"MIA";"1";"0";"0";"1";"0";"0";"0";"2";"1";"1";"1";"1";"MIA";"1";"0";"0";"MIA";"1";"1";"1";"1";"1";"0";"0"
